i,k,x_um,z_um,fill,temperature,liquid_frac,ux,uz,vmag
0,0,0.00,0.00,1.00000000e+00,3.00006836e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,0,3.75,0.00,1.00000000e+00,3.00007019e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,0,7.50,0.00,1.00000000e+00,3.00007202e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3,0,11.25,0.00,1.00000000e+00,3.00007324e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4,0,15.00,0.00,1.00000000e+00,3.00007446e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5,0,18.75,0.00,1.00000000e+00,3.00007690e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,0,22.50,0.00,1.00000000e+00,3.00007996e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7,0,26.25,0.00,1.00000000e+00,3.00008331e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8,0,30.00,0.00,1.00000000e+00,3.00008698e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9,0,33.75,0.00,1.00000000e+00,3.00008972e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
10,0,37.50,0.00,1.00000000e+00,3.00009125e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
11,0,41.25,0.00,1.00000000e+00,3.00009338e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
12,0,45.00,0.00,1.00000000e+00,3.00009613e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
13,0,48.75,0.00,1.00000000e+00,3.00010010e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
14,0,52.50,0.00,1.00000000e+00,3.00010315e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
15,0,56.25,0.00,1.00000000e+00,3.00010590e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
16,0,60.00,0.00,1.00000000e+00,3.00010834e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
17,0,63.75,0.00,1.00000000e+00,3.00011047e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
18,0,67.50,0.00,1.00000000e+00,3.00011230e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
19,0,71.25,0.00,1.00000000e+00,3.00011261e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
20,0,75.00,0.00,1.00000000e+00,3.00011322e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
21,0,78.75,0.00,1.00000000e+00,3.00011322e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
